Index, Raw, Filtered
223, 16.27, 15.98
224, 14.31, 15.56
225, 12.03, 14.67
226, 7.24, 12.81
227, 5.45, 10.97
228, 5.91, 9.70
229, 4.08, 8.29
230, 1.03, 6.47
231, 0.50, 4.98
232, 0.43, 3.83
233, 2.69, 3.54
234, 5.55, 4.04
235, 6.15, 4.57
236, 6.64, 5.08
237, 8.35, 5.89
238, 12.01, 7.42
239, 12.80, 8.76
240, 12.77, 9.76
241, 14.42, 10.92
242, 16.63, 12.34
243, 16.42, 13.36
244, 13.74, 13.45
245, 13.26, 13.40
246, 10.54, 12.68
247, 7.32, 11.34
248, 5.77, 9.94
249, 4.73, 8.63
250, 4.14, 7.51
251, 4.95, 6.86
252, 6.13, 6.68
253, 8.84, 7.21
254, 10.02, 7.91
255, 11.82, 8.89
256, 11.88, 9.63
257, 12.80, 10.42
258, 12.24, 10.87
259, 15.19, 11.95
260, 15.97, 12.95
261, 15.88, 13.68
262, 15.37, 14.10
263, 14.24, 14.13
264, 15.61, 14.50
265, 14.07, 14.39
266, 12.62, 13.94
267, 12.17, 13.49
268, 12.22, 13.17
269, 12.16, 12.91
270, 13.61, 13.09
271, 10.80, 12.51
272, 8.68, 11.55
273, 8.30, 10.73
274, 5.34, 9.38
275, 5.04, 8.29
276, 5.38, 7.56
277, 5.15, 6.95
278, 4.00, 6.21
279, 2.38, 5.25
280, 2.59, 4.58
281, 2.65, 4.09
282, 4.05, 4.08
283, 4.49, 4.18
284, 5.48, 4.50
285, 5.19, 4.67
286, 4.07, 4.52
287, 4.33, 4.47
288, 6.00, 4.84
289, 3.79, 4.58
290, 8.18, 5.47
291, 8.91, 6.33
292, 10.47, 7.36
293, 12.26, 8.58
294, 12.64, 9.59
295, 12.69, 10.36
296, 13.01, 11.02
297, 13.68, 11.68
298, 16.38, 12.85
299, 17.23, 13.94
300, 15.05, 14.22
301, 13.56, 14.05
302, 14.56, 14.17
303, 14.52, 14.26
304, 14.27, 14.26
305, 15.22, 14.49
306, 13.35, 14.20
307, 13.08, 13.92
308, 12.34, 13.52
309, 11.26, 12.95
310, 12.29, 12.78
311, 10.43, 12.19
312, 6.02, 10.64
313, 4.39, 9.08
314, 6.63, 8.46
315, 7.29, 8.16
316, 5.94, 7.61
317, 4.97, 6.94
318, 1.07, 5.47
319, 0.55, 4.24
320, 2.46, 3.79
321, 4.19, 3.88
322, 4.55, 4.05
323, 3.93, 4.01
324, 3.41, 3.86
325, 4.17, 3.93
326, 6.74, 4.63
327, 6.66, 5.13
328, 8.63, 6.00
329, 9.09, 6.77
330, 10.66, 7.74
331, 10.61, 8.45
332, 11.12, 9.12
333, 11.21, 9.64
334, 14.38, 10.82
335, 14.80, 11.81
336, 13.24, 12.16
337, 13.75, 12.55
338, 12.67, 12.58
339, 12.88, 12.65
340, 12.16, 12.52
341, 11.59, 12.29
342, 11.86, 12.18
343, 13.54, 12.51
344, 17.33, 13.71
345, 20.07, 15.30
346, 18.48, 16.09
347, 16.36, 16.15
348, 14.59, 15.76
349, 12.14, 14.85
350, 7.90, 13.11
351, 8.00, 11.83
352, 1.64, 9.28
353, -1.26, 6.64
354, -2.45, 4.36
355, -2.77, 2.58
356, -0.42, 1.82
357, 3.05, 2.13
358, 3.78, 2.54
359, 4.57, 3.04
360, 5.39, 3.63
361, 6.13, 4.25
362, 4.44, 4.29
363, 3.58, 4.11
364, 3.88, 4.05
365, 4.97, 4.28
366, 5.71, 4.63
367, 8.64, 5.63
368, 10.19, 6.77
369, 11.91, 8.05
370, 12.81, 9.24
371, 13.40, 10.27
372, 14.19, 11.25
373, 14.50, 12.06
374, 13.77, 12.48
375, 13.22, 12.66
376, 13.31, 12.82
377, 12.84, 12.82
378, 12.12, 12.64
379, 12.21, 12.53
380, 13.75, 12.83
381, 14.51, 13.25
382, 14.46, 13.55
383, 14.48, 13.78
384, 12.71, 13.51
385, 11.39, 12.97
386, 13.65, 13.14
387, 12.88, 13.07
388, 12.15, 12.84
389, 11.17, 12.42
390, 13.24, 12.62
391, 14.38, 13.05
392, 10.69, 12.46
393, 3.70, 10.27
394, -0.49, 7.58
395, -2.90, 4.95
396, -2.98, 2.97
397, -1.24, 1.91
398, 1.62, 1.84
399, 4.38, 2.47
400, 4.92, 3.08
401, 4.30, 3.38
402, 3.82, 3.49
403, 2.38, 3.21
404, 4.41, 3.50
405, 6.85, 4.33
406, 7.21, 5.05
407, 6.57, 5.43
408, 10.75, 6.75
409, 13.65, 8.47
410, 11.97, 9.34
411, 13.10, 10.28
412, 13.86, 11.17
413, 15.16, 12.16
414, 14.75, 12.81
415, 14.51, 13.23
416, 13.78, 13.36
417, 12.60, 13.17
418, 11.44, 12.73
419, 12.72, 12.73
420, 12.77, 12.73
421, 14.23, 13.10
422, 13.67, 13.24
423, 14.11, 13.46
424, 14.51, 13.72
425, 13.91, 13.76
426, 16.13, 14.35
427, 16.41, 14.86
428, 14.08, 14.66
429, 13.66, 14.41
430, 11.26, 13.62
431, 10.00, 12.71
432, 9.26, 11.85
433, 6.20, 10.43
434, 3.84, 8.78
435, -0.15, 6.54
436, -3.70, 3.98
437, -4.06, 1.97
438, -0.15, 1.43
439, 3.10, 1.85
440, 4.02, 2.39
441, 3.96, 2.78
442, 3.31, 2.91
443, 2.05, 2.69
444, 0.25, 2.07
445, 4.75, 2.74
446, 9.62, 4.46
447, 10.62, 5.99
448, 13.06, 7.75
449, 12.60, 8.96
450, 13.21, 10.02
451, 13.48, 10.88
452, 13.16, 11.45
453, 15.64, 12.49
454, 16.45, 13.48
455, 12.93, 13.34
456, 12.18, 13.04
457, 11.05, 12.54
458, 12.50, 12.53
459, 15.20, 13.19
460, 14.88, 13.61
461, 13.93, 13.69
462, 14.47, 13.88
463, 13.15, 13.69
464, 11.85, 13.23
465, 11.15, 12.71
466, 10.23, 12.08
467, 7.34, 10.89
468, 3.51, 9.04
469, 1.35, 7.12
470, 1.51, 5.71
471, 1.74, 4.71
472, 3.85, 4.49
473, 7.25, 5.18
474, 10.48, 6.50
475, 13.19, 8.17
476, 18.83, 10.83
477, 21.50, 13.49
478, 19.32, 14.95
479, 16.55, 15.34
480, 13.56, 14.89
481, 7.37, 13.01
482, 2.46, 10.37
483, -0.04, 7.76
484, -0.94, 5.58
485, -0.14, 4.15
486, 3.97, 4.10
487, 8.20, 5.12
488, 12.21, 6.89
489, 14.24, 8.72
490, 13.80, 9.99
491, 14.95, 11.23
492, 14.30, 11.99
493, 14.99, 12.74
494, 21.20, 14.85
495, 19.81, 16.08
496, 16.26, 16.12
497, 16.29, 16.16
498, 13.69, 15.54
499, 9.27, 13.97
500, 5.88, 11.94
501, 2.79, 9.65
502, 0.76, 7.42
503, 1.38, 5.91
504, 1.59, 4.82
505, 2.65, 4.28
506, 4.23, 4.26
507, 7.76, 5.13
508, 9.92, 6.33
509, 11.25, 7.55
510, 11.66, 8.58
511, 11.44, 9.29
512, 16.67, 11.13
513, 19.59, 13.24
514, 17.21, 14.23
515, 13.78, 14.11
516, 8.98, 12.83
517, 4.11, 10.64
518, 1.59, 8.37
519, 0.02, 6.28
520, -0.42, 4.60
521, 0.63, 3.61
522, 4.55, 3.84
523, 9.56, 5.27
524, 11.35, 6.78
525, 11.95, 8.07
526, 14.27, 9.62
527, 12.90, 10.43
528, 11.27, 10.64
529, 15.57, 11.87
530, 19.06, 13.66
531, 19.74, 15.18
532, 19.83, 16.34
533, 15.92, 16.23
534, 15.77, 16.11
535, 13.98, 15.57
536, 10.77, 14.37
537, 7.30, 12.60
538, 4.29, 10.52
539, 2.24, 8.44
540, -0.30, 6.25
541, 0.33, 4.77
542, 3.55, 4.46
543, 4.45, 4.45
544, 8.78, 5.53
545, 11.82, 7.10
546, 12.31, 8.40
547, 16.01, 10.30
548, 13.97, 11.21
549, 16.76, 12.59
550, 18.51, 14.07
551, 18.20, 15.10
552, 18.03, 15.83
553, 12.73, 15.05
554, 7.50, 13.16
555, 4.04, 10.87
556, 1.02, 8.41
557, -0.06, 6.29
558, 1.31, 5.04
559, 2.57, 4.42
560, 4.66, 4.48
561, 8.18, 5.40
562, 9.58, 6.44
563, 10.85, 7.54
564, 11.87, 8.61
565, 11.61, 9.36
566, 17.18, 11.31
567, 17.01, 12.73
568, 20.32, 14.62
569, 21.48, 16.33
570, 19.71, 17.17
571, 17.97, 17.37
572, 14.81, 16.72
573, 9.97, 15.03
574, 7.21, 13.08
575, 4.59, 10.95
576, 2.33, 8.79
577, 0.44, 6.70
578, 0.04, 5.03
579, 1.40, 4.12
580, 2.85, 3.80
581, 3.76, 3.78
582, 6.67, 4.50
583, 8.64, 5.53
584, 13.51, 7.52
585, 23.70, 11.56
586, 15.76, 12.61
587, 21.25, 14.77
588, 22.06, 16.59
589, 16.53, 16.57
590, 14.29, 15.99
591, 9.67, 14.41
592, 6.39, 12.40
593, 3.89, 10.27
594, 3.10, 8.47
595, 4.72, 7.53
596, 3.66, 6.56
597, -0.61, 4.76
598, -2.17, 3.03
599, -0.51, 2.14
600, 2.47, 2.22
601, 6.55, 3.30
602, 11.64, 5.38
603, 13.19, 7.33
604, 15.46, 9.36
605, 17.11, 11.29
606, 19.96, 13.45
607, 22.89, 15.81
608, 23.76, 17.79
609, 20.29, 18.41
610, 16.03, 17.81
611, 14.51, 16.98
612, 12.50, 15.86
613, 8.92, 14.12
614, 4.29, 11.66
615, 0.81, 8.94
616, 0.50, 6.83
617, 0.09, 5.14
618, -0.43, 3.74
619, -1.30, 2.48
620, 0.07, 1.87
621, 1.63, 1.81
622, 2.24, 1.91
623, 6.34, 3.02
624, 6.57, 3.90
625, 10.32, 5.50
626, 12.40, 7.22
627, 10.15, 7.95
628, 16.50, 10.08
629, 18.59, 12.20
630, 26.29, 15.72
631, 24.85, 18.00
632, 21.87, 18.96
633, 17.60, 18.62
634, 13.53, 17.35
635, 9.90, 15.48
636, 5.00, 12.86
637, 6.67, 11.31
638, 1.96, 8.97
639, 1.48, 7.09
640, 1.84, 5.78
641, 0.95, 4.56
642, -0.37, 3.33
643, -2.48, 1.87
644, -1.58, 1.01
645, 3.48, 1.62
646, 8.21, 3.27
647, 9.07, 4.71
648, 10.60, 6.18
649, 12.91, 7.86
650, 14.05, 9.40
651, 14.75, 10.74
652, 16.13, 12.08
653, 18.08, 13.58
654, 17.96, 14.67
655, 17.28, 15.32
656, 18.59, 16.13
657, 18.37, 16.69
658, 17.93, 16.99
659, 14.86, 16.46
660, 10.10, 14.86
661, 7.10, 12.92
662, 2.95, 10.42
663, -2.39, 7.22
664, -1.98, 4.91
665, -1.10, 3.41
666, -0.94, 2.32
667, -0.68, 1.56
668, 2.76, 1.86
669, 7.79, 3.34
670, 10.12, 5.03
671, 11.41, 6.62
672, 11.98, 7.95
673, 15.09, 9.74
674, 22.36, 12.89
675, 20.86, 14.88
676, 19.45, 16.01
677, 20.83, 17.21
678, 17.62, 17.31
679, 14.32, 16.56
680, 13.21, 15.72
681, 10.35, 14.37
682, 5.11, 12.05
683, 1.70, 9.46
684, 0.26, 7.16
685, 0.38, 5.46
686, 0.83, 4.30
687, 2.05, 3.73
688, 2.36, 3.39
689, 3.53, 3.42
690, 7.03, 4.32
691, 9.90, 5.71
692, 11.92, 7.26
693, 13.77, 8.88
694, 14.18, 10.20
695, 15.06, 11.41
696, 18.90, 13.28
697, 16.87, 14.17
698, 17.02, 14.88
699, 17.47, 15.53
700, 16.57, 15.78
701, 15.21, 15.63
702, 12.29, 14.79
703, 9.39, 13.44
704, 8.24, 12.14
705, 4.94, 10.33
706, 2.39, 8.34
707, 1.95, 6.74
708, 1.31, 5.38
709, 1.39, 4.38
710, 4.38, 4.38
711, 9.98, 5.77
712, 10.30, 6.90
713, 11.24, 7.98
714, 13.00, 9.23
715, 15.93, 10.90
716, 17.47, 12.54
717, 16.21, 13.45
718, 13.43, 13.44
719, 10.10, 12.60
720, 6.92, 11.18
721, 3.02, 9.14
722, 0.97, 7.09
723, 2.68, 5.99
724, 4.23, 5.54
725, 6.47, 5.77
726, 8.36, 6.41
727, 10.15, 7.34
728, 12.51, 8.63
729, 11.98, 9.46
730, 12.97, 10.34
731, 13.01, 11.00
732, 11.73, 11.18
733, 12.40, 11.48
734, 14.62, 12.26
735, 17.60, 13.59
736, 17.17, 14.48
737, 15.48, 14.73
738, 14.45, 14.65
739, 15.57, 14.88
740, 16.75, 15.34
741, 14.05, 15.02
742, 13.14, 14.55
743, 14.00, 14.40
744, 13.20, 14.10
745, 11.36, 13.41
746, 8.80, 12.25
747, 6.88, 10.91
748, 6.49, 9.80
749, 4.80, 8.54
750, -0.20, 6.35
751, -4.50, 3.64
752, -2.01, 2.22
753, -0.17, 1.62
754, -0.27, 1.14
755, 0.94, 1.09
756, 1.53, 1.20
757, 2.62, 1.55
758, 6.53, 2.79
759, 8.26, 4.15
760, 6.66, 4.78
761, 9.03, 5.84
762, 9.69, 6.80
763, 12.25, 8.15
764, 12.60, 9.26
765, 14.69, 10.61
766, 14.00, 11.45
767, 13.66, 12.00
768, 13.35, 12.33
769, 13.69, 12.67
770, 14.79, 13.20
771, 14.05, 13.40
772, 14.36, 13.64
773, 15.53, 14.11
774, 14.19, 14.13
775, 14.76, 14.28
776, 15.15, 14.49
777, 14.91, 14.59
778, 14.70, 14.62
779, 13.37, 14.30
780, 11.12, 13.50
781, 11.00, 12.87
782, 9.76, 12.09
783, 9.03, 11.32
784, 11.06, 11.25
785, 8.51, 10.56
786, 6.17, 9.46
787, 5.45, 8.46
788, 4.18, 7.38
789, 2.79, 6.23
790, -0.23, 4.61
791, -2.85, 2.74
792, -2.09, 1.53
793, -0.67, 0.98
794, 0.18, 0.78
795, 0.11, 0.61
796, 0.78, 0.65
797, 2.71, 1.16
798, 6.15, 2.40
799, 7.90, 3.77
800, 10.11, 5.35
801, 11.15, 6.80
802, 12.55, 8.23
803, 13.77, 9.61
804, 14.10, 10.73
805, 14.32, 11.62
806, 14.92, 12.44
807, 15.42, 13.18
808, 13.97, 13.38
809, 12.13, 13.06
810, 11.11, 12.57
811, 14.36, 13.01
812, 14.57, 13.40
813, 12.81, 13.25
814, 12.54, 13.07
815, 13.04, 13.06
816, 13.79, 13.24
817, 14.01, 13.43
818, 13.97, 13.56
819, 12.81, 13.37
820, 12.17, 13.06
821, 9.95, 12.28
822, 7.67, 11.13
823, 5.00, 9.59
824, 1.48, 7.56
825, 0.22, 5.72
826, -0.19, 4.24
827, 0.49, 3.30
828, 2.45, 3.08
829, 5.19, 3.61
830, 7.56, 4.59
831, 13.24, 6.75
832, 15.22, 8.86
833, 16.89, 10.87
834, 22.27, 13.71
835, 18.61, 14.93
836, 18.75, 15.88
837, 17.67, 16.33
838, 15.64, 16.15
839, 11.82, 15.06
840, 10.08, 13.81
841, 6.09, 11.88
842, 4.28, 9.98
843, 2.48, 8.10
844, 1.90, 6.54
845, 0.08, 4.92
846, 0.34, 3.77
847, 6.07, 4.34
848, 10.12, 5.78
849, 10.89, 7.06
850, 12.90, 8.51
851, 12.19, 9.43
852, 13.66, 10.48
853, 16.75, 12.04
854, 15.41, 12.88
855, 15.57, 13.55
856, 15.47, 14.03
857, 15.27, 14.33
858, 14.90, 14.47
859, 14.44, 14.46
860, 14.89, 14.56
861, 12.59, 14.07
862, 11.43, 13.40
863, 8.26, 12.12
864, 4.86, 10.30
865, 1.57, 8.11
866, 0.01, 6.08
867, 1.41, 4.91
868, 2.61, 4.33
869, 4.30, 4.32
870, 8.49, 5.36
871, 11.40, 6.86
872, 12.85, 8.36
873, 13.85, 9.73
874, 16.18, 11.33
875, 16.60, 12.65
876, 15.40, 13.33
877, 13.88, 13.47
878, 16.83, 14.30
879, 17.03, 14.98
880, 16.83, 15.44
881, 15.55, 15.46
882, 11.48, 14.46
883, 8.80, 13.04
884, 7.47, 11.64
885, 6.84, 10.44
886, 4.82, 9.03
887, 2.16, 7.31
888, 0.14, 5.51
889, -2.51, 3.50
890, 0.21, 2.68
891, 3.16, 2.79
892, 6.38, 3.69
893, 7.97, 4.75
894, 11.98, 6.55
895, 12.78, 8.11
896, 13.43, 9.44
897, 13.49, 10.45
898, 13.58, 11.22
899, 12.76, 11.60
900, 15.29, 12.52
901, 14.49, 13.01
902, 15.10, 13.53
903, 15.45, 14.00
904, 14.91, 14.23
905, 14.77, 14.36
906, 14.86, 14.48
907, 15.27, 14.67
908, 14.86, 14.72
909, 13.75, 14.47
910, 11.35, 13.69
911, 6.64, 11.92
912, 7.01, 10.69
913, 4.47, 9.13
914, 2.49, 7.47
915, -1.05, 5.33
916, -0.36, 3.91
917, 1.38, 3.27
918, 3.11, 3.23
919, 7.13, 4.20
920, 10.94, 5.88
921, 17.41, 8.76
922, 19.57, 11.45
923, 20.52, 13.72
924, 21.50, 15.66
925, 14.15, 15.28
926, 15.37, 15.30
927, 15.20, 15.27
928, 15.31, 15.27
929, 15.35, 15.29
930, 14.14, 15.00
931, 12.50, 14.37
932, 7.80, 12.73
933, 3.67, 10.46
934, -0.10, 7.81
935, -2.15, 5.32
936, -1.77, 3.54
937, -1.22, 2.35
938, 0.12, 1.79
939, 5.90, 2.81
940, 10.46, 4.72
941, 14.49, 7.16
942, 15.33, 9.20
943, 14.59, 10.54
944, 15.68, 11.82
945, 16.45, 12.97
946, 14.35, 13.31
947, 15.57, 13.87
948, 14.32, 13.98
949, 14.82, 14.19
950, 15.07, 14.40
951, 15.98, 14.79
952, 16.05, 15.10
953, 14.80, 15.02
954, 14.66, 14.93
955, 14.47, 14.81
956, 12.94, 14.34
957, 10.31, 13.33
958, 12.26, 13.06
959, 10.79, 12.49
960, 8.11, 11.39
961, 6.33, 10.12
962, 4.86, 8.80
963, 3.29, 7.42
964, 1.00, 5.81
965, -1.99, 3.86
966, -4.89, 1.67
967, -5.30, -0.08
968, -3.33, -0.90
969, -1.05, -0.94
970, 1.57, -0.32
971, 2.57, 0.40
972, 5.62, 1.70
973, 5.16, 2.56
974, 7.57, 3.81
975, 12.69, 6.03
976, 17.12, 8.79
977, 19.99, 11.59
978, 18.85, 13.40
979, 16.10, 14.07
980, 14.85, 14.26
981, 13.30, 14.02
982, 11.45, 13.37
983, 11.65, 12.94
984, 11.58, 12.59
985, 13.54, 12.83
986, 14.39, 13.21
987, 14.25, 13.47
988, 13.22, 13.40
989, 12.86, 13.26
990, 14.82, 13.65
991, 14.21, 13.79
992, 14.33, 13.92
993, 14.30, 14.01
994, 13.79, 13.95
995, 12.82, 13.66
996, 11.49, 13.12
997, 8.34, 11.92
998, 7.75, 10.87
999, 8.22, 10.20
1000, 9.19, 9.95
1001, 5.80, 8.91
1002, 4.99, 7.92
1003, 5.38, 7.28
1004, 4.94, 6.69
1005, 0.36, 5.11
1006, -4.81, 2.63
1007, -4.96, 0.73
1008, -1.35, 0.20
1009, 0.31, 0.23
1010, 1.08, 0.44
1011, 6.49, 1.95
1012, 7.54, 3.34
1013, 11.16, 5.29
1014, 15.07, 7.73
1015, 16.02, 9.80
1016, 17.54, 11.73
1017, 16.20, 12.84
1018, 16.07, 13.65
1019, 14.90, 13.95
1020, 12.00, 13.46
1021, 15.94, 14.07
1022, 14.80, 14.25
1023, 15.96, 14.67
1024, 17.02, 15.26
1025, 14.46, 15.05
1026, 14.53, 14.92
1027, 13.04, 14.44
1028, 12.92, 14.06
1029, 14.39, 14.14
1030, 11.84, 13.56
1031, 11.74, 13.10
1032, 9.68, 12.24
1033, 9.79, 11.63
1034, 9.33, 11.05
1035, 9.50, 10.66
1036, 8.38, 10.09
1037, 8.04, 9.57
1038, 6.26, 8.74
1039, 4.29, 7.63
1040, -0.48, 5.60
1041, -1.70, 3.77
1042, 0.96, 3.06
1043, 1.53, 2.68
1044, -0.63, 1.85
1045, -0.53, 1.25
1046, 1.51, 1.31
1047, 4.50, 2.10
1048, 3.34, 2.41
1049, 4.66, 2.97
1050, 5.75, 3.66
1051, 7.82, 4.70
1052, 14.04, 7.03
1053, 18.49, 9.89
1054, 20.32, 12.49
1055, 20.27, 14.43
1056, 17.98, 15.31
1057, 15.85, 15.44
1058, 13.18, 14.88
1059, 11.79, 14.10
1060, 11.19, 13.37
1061, 13.71, 13.45
1062, 14.34, 13.67
1063, 14.18, 13.79
1064, 14.40, 13.94
1065, 13.83, 13.91
1066, 15.09, 14.20
1067, 14.38, 14.24
1068, 14.44, 14.28
1069, 14.03, 14.22
1070, 10.75, 13.35
1071, 8.90, 12.23
1072, 7.94, 11.16
1073, 9.83, 10.82
1074, 9.98, 10.61
1075, 9.33, 10.28
1076, 6.79, 9.41
1077, 6.11, 8.58
1078, 5.98, 7.93
1079, 4.50, 7.07
1080, 3.22, 6.10
1081, 3.94, 5.56
1082, 5.06, 5.43
1083, 4.41, 5.17
1084, 3.37, 4.72
1085, 2.57, 4.18
1086, 3.24, 3.94
1087, 3.98, 3.95
1088, 2.61, 3.61
1089, -0.36, 2.61
1090, -1.36, 1.61
1091, -2.58, 0.56
1092, -1.64, 0.01
1093, 2.80, 0.70
1094, 18.28, 5.09
1095, 20.28, 8.89
1096, 32.52, 14.79
1097, 45.19, 22.39
1098, 6.78, 18.48
1099, 16.52, 17.99
1100, 10.11, 16.01
1101, 12.13, 15.04
1102, 12.79, 14.47
1103, 12.55, 13.99
1104, 12.68, 13.66
1105, 13.81, 13.69
1106, 14.46, 13.88
1107, 13.97, 13.90
1108, 13.24, 13.73
1109, 12.37, 13.39
1110, 12.44, 13.15
1111, 11.22, 12.66
1112, 8.83, 11.70
1113, 7.32, 10.60
1114, 9.45, 10.31
1115, 9.98, 10.22
1116, 8.90, 9.89
1117, 8.06, 9.43
1118, 6.39, 8.66
1119, 6.85, 8.21
1120, 7.27, 7.97
1121, 7.05, 7.74
1122, 5.69, 7.22
1123, 4.49, 6.54
1124, 3.17, 5.69
1125, 4.98, 5.51
1126, 6.26, 5.69
1127, 3.93, 5.25
1128, 2.98, 4.68
1129, 3.97, 4.50
1130, 1.88, 3.84
1131, 0.97, 3.12
1132, 3.34, 3.17
1133, 7.62, 4.28
1134, 8.15, 5.24
1135, 8.66, 6.09
1136, 8.65, 6.73
1137, 8.50, 7.17
1138, 6.42, 6.98
1139, 3.22, 6.03
1140, 6.26, 6.08
1141, 18.19, 9.11
1142, 26.77, 13.52
1143, 24.90, 16.36
1144, 17.42, 16.62
1145, 14.06, 15.98
1146, 12.59, 15.13
1147, 13.06, 14.60
1148, 18.11, 15.48
1149, 23.22, 17.41
1150, 28.61, 20.21
1151, 24.42, 21.26
